2022-05-17 22:35:50 status half-configured libssh2-1:amd64 1.9.0-2
2022-05-17 22:35:50 status half-installed libssh2-1:amd64 1.9.0-2
2022-05-17 22:35:50 status config-files libssh2-1:amd64 1.9.0-2
2022-05-17 22:35:50 status not-installed libssh2-1:amd64 <none>
2022-05-17 22:35:50 status installed readline-common:all 8.1-1
2022-05-17 22:35:50 remove readline-common:all 8.1-1 <none>
2022-05-17 22:35:50 status half-configured readline-common:all 8.1-1
2022-05-17 22:35:50 status half-installed readline-common:all 8.1-1
2022-05-17 22:35:50 status config-files readline-common:all 8.1-1
2022-05-17 22:35:50 startup packages configure
2022-05-17 22:35:50 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-05-17 22:35:50 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-05-17 22:35:50 status installed libc-bin:amd64 2.31-13+deb11u3
2022-05-17 22:35:50 startup packages purge
2022-05-17 22:35:50 purge readline-common:all 8.1-1 <none>
2022-05-17 22:35:50 status config-files readline-common:all 8.1-1
2022-05-17 22:35:50 status not-installed readline-common:all <none>
2022-05-17 22:35:50 startup packages configure
2022-05-17 22:35:55 startup archives unpack
2022-05-17 22:35:55 install readline-common:all <none> 8.1-1
2022-05-17 22:35:55 status half-installed readline-common:all 8.1-1
2022-05-17 22:35:55 status unpacked readline-common:all 8.1-1
2022-05-17 22:35:55 install libreadline8:amd64 <none> 8.1-1
2022-05-17 22:35:55 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-05-17 22:35:55 status half-installed libreadline8:amd64 8.1-1
2022-05-17 22:35:55 status unpacked libreadline8:amd64 8.1-1
2022-05-17 22:35:55 install sensible-utils:all <none> 0.0.14
2022-05-17 22:35:55 status half-installed sensible-utils:all 0.0.14
2022-05-17 22:35:55 status unpacked sensible-utils:all 0.0.14
2022-05-17 22:35:55 install gettext-base:amd64 <none> 0.21-4
2022-05-17 22:35:55 status half-installed gettext-base:amd64 0.21-4
2022-05-17 22:35:55 status unpacked gettext-base:amd64 0.21-4
2022-05-17 22:35:55 install ucf:all <none> 3.0043
2022-05-17 22:35:55 status half-installed ucf:all 3.0043
2022-05-17 22:35:55 status unpacked ucf:all 3.0043
2022-05-17 22:35:55 install libbrotli1:amd64 <none> 1.0.9-2+b2
2022-05-17 22:35:55 status half-installed libbrotli1:amd64 1.0.9-2+b2
2022-05-17 22:35:55 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-05-17 22:35:55 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-05-17 22:35:55 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3
2022-05-17 22:35:55 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-17 22:35:55 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-17 22:35:55 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-05-17 22:35:55 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-05-17 22:35:55 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-05-17 22:35:55 install libpsl5:amd64 <none> 0.21.0-1.2
2022-05-17 22:35:55 status half-installed libpsl5:amd64 0.21.0-1.2
2022-05-17 22:35:55 status unpacked libpsl5:amd64 0.21.0-1.2
2022-05-17 22:35:55 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-05-17 22:35:55 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-17 22:35:55 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-05-17 22:35:55 install libssh2-1:amd64 <none> 1.9.0-2
2022-05-17 22:35:55 status half-installed libssh2-1:amd64 1.9.0-2
2022-05-17 22:35:55 status unpacked libssh2-1:amd64 1.9.0-2
2022-05-17 22:35:55 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-05-17 22:35:55 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-05-17 22:35:55 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-05-17 22:35:55 install curl:amd64 <none> 7.74.0-1.3+deb11u1
2022-05-17 22:35:55 status half-installed curl:amd64 7.74.0-1.3+deb11u1
2022-05-17 22:35:55 status unpacked curl:amd64 7.74.0-1.3+deb11u1
